,hostname,pl_letter,pl_name,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,ra,dec,pl_orbincl,pl_orbeccen,pl_orbpererr1,sy_vmag,sy_hmag,sy_jmag,sy_kmag,st_teff,st_rad,st_mass,pl_eqt,pl_trandep,pl_trandur,pl_tranmid
66,K2-190,c,K2-190 c,21.574023,,0.098,0.00421,205.3630485,-13.1608686,88.977,,0.00573,11.138,9.447,9.834,9.41,5631,0.91,0.9,,,,2457228.693
79,K2-209,b,K2-209 b,2.080615,,0.077,0.00184,14.6903464,1.382807,86.231,,0.000134,11.061,8.774,9.263,8.613,4720,0.71,0.74,,,,2457394.233
98,K2-229,b,K2-229 b,0.58426,0.0131,0.102,0.00783,186.8729195,-6.7218474,83.9,0,2.00E-05,10.985,9.126,9.518,9.05,5315,0.79,0.87,1818,1.625,1.5,2457583.469
99,K2-229,c,K2-229 c,8.32727,0.0769,0.181,0.06702,186.8729195,-6.7218474,87.94,0,0.00041,10.985,9.126,9.518,9.05,5315,0.79,0.87,750,5.325,2.5008,2457586.343
134,24 Sex,c,24 Sex c,883,2.08,1.24,0.86,155.8684866,-0.9023998,,0.29,32.4,6.4535,4.486,5.292,4.285,5098,4.9,1.54,,,,
150,61 Vir,b,61 Vir b,4.215,0.050201,0.188,0.016,199.596455,-18.3157745,,0.12,0.0006,4.6955,2.974,3.334,2.956,5577,0.96,0.94,,,,
151,61 Vir,c,61 Vir c,38.021,0.2175,0.398,0.057,199.596455,-18.3157745,,0.14,0.034,4.6955,2.974,3.334,2.956,5577,0.96,0.94,,,,
152,61 Vir,d,61 Vir d,123.01,0.476,0.456,0.072,199.596455,-18.3157745,,0.35,0.55,4.6955,2.974,3.334,2.956,5577,0.96,0.94,,,,
158,BD-08 2823,b,BD-08 2823 b,5.6,0.06,0.322,0.04,150.1971964,-9.5165689,,0.15,0.02,9.86,7.498,7.96,7.323,4816,0.71,0.5,,,,
159,BD-08 2823,c,BD-08 2823 c,237.6,0.68,1.11,0.33,150.1971964,-9.5165689,,0.19,1.5,9.86,7.498,7.96,7.323,4746,,0.74,,,,
160,BD-10 3166,b,BD-10 3166 b,3.48777,0.04,1.26,0.59,164.6191243,-10.7704227,,0.02,0.00011,10.013,8.3,8.611,8.124,5393,0.91,1.47,,,,
194,GJ 1214,b,GJ 1214 b,1.58040456,0.01411,0.254,0.0197,258.8313991,4.9606795,88.17,0,1.60E-07,15.1,9.094,9.75,8.782,3026,0.22,0.15,547,,0.8688,2455320.536
198,GJ 433,b,GJ 433 b,7.3705,0.062,0.208,0.01901,173.8619194,-32.5436302,,0.04,0.0005,9.81,5.856,6.471,5.623,3461,0.5,0.48,,,,
201,GJ 667 C,b,GJ 667 C b,7.2004,0.0505,0.199,0.018,259.7510609,-34.9977651,,0.13,0.0017,10.602,6.322,6.848,6.036,3350,,0.33,,,,
202,GJ 667 C,c,GJ 667 C c,28.14,0.125,0.158,0.012,259.7510609,-34.9977651,,0.02,0.053,10.602,6.322,6.848,6.036,3350,,0.33,,,,
203,GJ 674,b,GJ 674 b,4.6938,0.039,0.297,0.035,262.1700476,-46.8989826,,0.2,0.007,9.38,5.154,5.711,4.855,3600,,0.35,,,,
205,GJ 832,b,GJ 832 b,3657,3.56,1.25,0.68,323.3912616,-49.0125169,,0.08,104,8.66,4.766,5.349,4.501,3472,0.44,0.45,,,,
206,GJ 849,b,GJ 849 b,1882,2.35,1.23,1,332.4229938,-4.6408317,,0.04,250,10.41,5.899,6.51,5.594,3241,0.53,0.65,,,,
207,GJ 179,b,GJ 179 b,2288,2.41,1.24,0.82,73.0245495,6.4752347,,0.21,59,11.963,7.209,7.814,6.942,3370,0.38,0.36,,,,
208,GJ 581,b,GJ 581 b,5.3686,0.04061,0.366,0.0497,229.8564725,-7.7226935,,0,0.0001,10.57,6.095,6.706,5.837,3396,0.33,0.31,,,,
209,GJ 581,c,GJ 581 c,12.914,0.0721,0.197,0.0173,229.8564725,-7.7226935,,0,0.002,10.57,6.095,6.706,5.837,3396,0.33,0.31,,,,
210,GJ 581,e,GJ 581 e,3.149,0.02815,0.104,0.0053,229.8564725,-7.7226935,,0,0.0002,10.57,6.095,6.706,5.837,3396,0.33,0.31,,,,
213,GJ 876,c,GJ 876 c,30.0881,0.12959,1.25,0.7142,343.3239737,-14.2665958,59,0.25591,0.0082,10.16,5.349,5.934,5.01,3271,0.3,0.32,,,,
214,GJ 876,d,GJ 876 d,1.93778,0.020807,0.224,0.021,343.3239737,-14.2665958,59,0.207,2.00E-05,10.16,5.349,5.934,5.01,3271,0.3,0.32,,,,
215,GJ 876,e,GJ 876 e,124.26,0.3343,0.35,0.046,343.3239737,-14.2665958,59,0.055,0.7,10.16,5.349,5.934,5.01,3271,0.3,0.32,,,,
