Name,obs_time,Primary eclipse observable?,Transit Length,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time
Eclipse End,2020-09-25 05:06:35.339829,1.150131179961513,66.6107337360639,103.09907131897762,319.5794677734375,60.39664840698242
Eclipse Begin : WASP-107 b,2021-02-15 04:02:32.080005,1.634089764961516,168.12123284530185,39.30299207813562,83.86276245117188,37.731468200683594
Eclipse Mid,2021-02-15 05:25:07.120005,1.2049033343986424,168.50840080265445,40.14811848574739,70.68893432617188,56.09278869628906
Eclipse End,2021-02-15 06:47:42.160005,1.0522671415907767,168.83266119211984,41.03971782876397,39.644561767578125,71.8656005859375
Eclipse Begin : WASP-107 b,2021-04-19 02:30:56.176005,1.0610296408863698,87.52409927178614,75.60693808576707,45.0788688659668,70.47242736816406
Eclipse Mid,2021-04-19 03:53:31.216005,1.0389845829725897,86.86389191959918,76.20439857948242,334.6348876953125,74.25484466552734
Eclipse End,2021-04-19 05:16:06.256005,1.1523827761836145,86.10382042122185,76.90368581789296,293.9552917480469,60.20020294189453
Eclipse Begin : WASP-107 b,2021-05-11 23:46:43.120005,1.2057314395283827,138.50789976385408,1.8173648932585522,70.75181579589844,56.0342903137207
Eclipse Mid,2021-05-12 01:09:18.160005,1.0525000391873796,137.73966492263366,2.454716323413872,39.82492446899414,71.8269271850586
Eclipse End,2021-05-12 02:31:53.200005,1.0441102199268275,136.89093479450955,3.2033006029407076,327.6782531738281,73.28620910644531
Eclipse Begin : HD 106315 b,2021-02-22 04:29:30.846574,1.3277888540232168,94.01510550009648,115.80838276019703,59.3447151184082,48.862396240234375
Eclipse Mid,2021-02-22 06:22:45.848014,1.101796134598323,93.1635985045081,116.5826948739752,14.609356880187988,65.17698669433594
Eclipse End,2021-02-22 08:16:00.849454,1.1838985396071988,92.12044226237958,117.54888348828375,314.830810546875,57.63627243041992
Eclipse Begin : HD 106315 b,2021-04-30 01:17:24.222574,1.1430179971507135,78.14385349529681,138.15054791022868,36.123905181884766,61.0304069519043
Eclipse Mid,2021-04-30 03:10:39.224014,1.1191692545128298,79.24506473766702,137.1289123735489,332.91302490234375,63.31894302368164
Eclipse End,2021-04-30 05:03:54.225454,1.4323909929508738,80.15112158393545,136.30144057158256,295.6750793457031,44.27743911743164
Eclipse Begin : HD 106315 c,2021-03-22 02:21:02.311996,1.4097240663162103,87.10549902034384,94.8029390843345,63.42275619506836,45.18275833129883
Eclipse Mid,2021-03-22 04:40:10.711996,1.0985580188300899,86.12626165939336,95.68752920633796,10.186785697937012,65.5446548461914
Eclipse End,2021-03-22 06:59:19.111996,1.2731054313817758,84.86248469702166,96.85661680151844,304.4669189453125,51.76517868041992
Eclipse Begin : WASP-80 b,2020-06-30 03:07:27.280852,1.6151905688615031,91.85024374291527,113.00569905155788,71.90977478027344,38.252044677734375
Eclipse Mid,2020-06-30 04:11:23.082292,1.2771588843187163,91.40943109253656,113.44589150341399,59.15131378173828,51.534969329833984
Eclipse End,2020-06-30 05:15:18.883732,1.1271801873397524,90.91142810471698,113.93695583639216,37.37051010131836,62.51970672607422
Eclipse Begin : WASP-80 b,2020-07-03 04:45:09.723028,1.1575025259676288,51.3064063755614,153.90060687625854,45.00606155395508,59.76063537597656
Eclipse Mid,2020-07-03 05:49:05.524468,1.0865770588049355,50.923730489118114,154.27916657116342,12.479158401489258,66.97309875488281
Eclipse End,2020-07-03 06:53:01.325908,1.1033213613436703,50.49228377694651,154.70024635083084,332.7183532714844,65.00630187988281
Eclipse Begin : WASP-80 b,2020-08-12 01:55:21.471316,1.1835793245639024,109.3832329852155,85.15348735352524,49.505775451660156,57.66066360473633
Eclipse Mid,2020-08-12 02:59:17.272756,1.0932080141856093,110.00601917252139,84.52501361049161,20.12025260925293,66.16868591308594
Eclipse End,2020-08-12 04:03:13.074196,1.0933059512724994,110.57589457930558,83.94457448626139,339.7927551269531,66.15707397460938
Eclipse Begin : WASP-80 b,2020-08-15 03:33:03.913492,1.0846691450193666,143.25891583476067,50.167750616710755,351.1207275390625,67.21138000488281
