Name,obs_time,Primary eclipse observable?,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time
KELT-14 b,2020-11-03 06:38:05.543680,TRUE,2.1880800000000002 h,5720.0 K,9.808,34,90.75943558,0,156.3359257,230,230
KELT-14 b,2020-10-22 07:20:43.312000,TRUE,2.1880800000000002 h,5720.0 K,9.808,34,90.75943558,0,156.3359257,230,230
KELT-14 b,2021-02-24 03:21:52.299520,TRUE,2.1880800000000002 h,5720.0 K,9.808,34,90.75943558,0,156.3359257,230,230
KELT-14 b,2021-03-08 02:39:14.531200,TRUE,2.1880800000000002 h,5720.0 K,9.808,34,90.75943558,0,156.3359257,230,230
KELT-14 b,2021-04-01 01:13:58.994560,TRUE,2.1880800000000002 h,5720.0 K,9.808,34,90.75943558,0,156.3359257,230,230
KELT-14 b,2020-11-15 05:55:27.775360,TRUE,2.1880800000000002 h,5720.0 K,9.808,34,90.75943558,0,156.3359257,230,230
HD 219666 b,2020-08-28 05:51:57.887994,TRUE,2.1580008 h,5527.0 K,8.557,33,90.75943558,0,156.3359257,230,230
HD 219666 b,2020-08-16 04:08:04.991994,TRUE,2.1580008 h,5527.0 K,8.557,33,90.75943558,0,156.3359257,230,230
WASP-80 b,2020-06-30 04:11:23.082292,TRUE,2.1310008 h,4143.0 K,9.218,33,90.75943558,0,156.3359257,230,230
WASP-80 b,2020-07-03 05:49:05.524468,TRUE,2.1310008 h,4143.0 K,9.218,33,90.75943558,0,156.3359257,230,230
WASP-80 b,2020-08-12 02:59:17.272756,TRUE,2.1310008 h,4143.0 K,9.218,33,90.75943558,0,156.3359257,230,230
WASP-80 b,2020-08-15 04:36:59.714932,TRUE,2.1310008 h,4143.0 K,9.218,33,90.75943558,0,156.3359257,230,230
WASP-80 b,2021-05-18 07:10:39.510772,TRUE,2.1310008 h,4143.0 K,9.218,33,90.75943558,0,156.3359257,230,230
WASP-80 b,2021-05-21 08:48:21.952948,TRUE,2.1310008 h,4143.0 K,9.218,33,90.75943558,0,156.3359257,230,230
HD 219666 b,2020-08-22 05:00:01.439994,TRUE,2.1580008 h,5527.0 K,8.557,33,90.75943558,0,156.3359257,230,230
HD 219666 b,2020-09-03 06:43:54.335994,TRUE,2.1580008 h,5527.0 K,8.557,33,90.75943558,0,156.3359257,230,230
TOI-270 d,2020-12-14 04:00:54.719981,TRUE,2.1479999999999997 h,3386.0 K,9.099,33,90.75943558,0,156.3359257,230,230
TOI-270 d,2020-10-18 06:23:54.239981,TRUE,2.1479999999999997 h,3386.0 K,9.099,33,90.75943558,0,156.3359257,230,230
HD 219666 b,2020-09-09 07:35:50.783994,TRUE,2.1580008 h,5527.0 K,8.557,33,90.75943558,0,156.3359257,230,230
K2-233 b,2021-04-12 05:12:30.528009,TRUE,1.9690007999999999 h,4950.0 K,8.968,30,90.75943558,0,156.3359257,230,230
K2-233 b,2021-04-07 06:46:13.440009,TRUE,1.9690007999999999 h,4950.0 K,8.968,30,90.75943558,0,156.3359257,230,230
K2-233 b,2021-02-24 08:02:48.192009,TRUE,1.9690007999999999 h,4950.0 K,8.968,30,90.75943558,0,156.3359257,230,230
