Name,obs_time,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time,rank
HD 219666 b,2020-09-09 07:30:42.351288,2.1580008 h,5527.0 K,8.557,33,90.75943557587073,0.0,156.33592570258094,230,230,5445.0
TOI-270 d,2020-10-18 06:21:27.427185,2.1479999999999997 h,3386.0 K,9.099,33,90.75943557587073,0.0,156.33592570258094,230,230,2178.0
TOI-270 d,2020-12-14 03:58:56.521680,2.1479999999999997 h,3386.0 K,9.099,33,90.75943557587073,0.0,156.33592570258094,230,230,2178.0
HD 219666 b,2020-09-03 06:38:32.158976,2.1580008 h,5527.0 K,8.557,33,90.75943557587073,0.0,156.33592570258094,230,230,5445.0
HD 219666 b,2020-08-22 04:54:22.066411,2.1580008 h,5527.0 K,8.557,33,90.75943557587073,0.0,156.33592570258094,230,230,5445.0
HD 219666 b,2020-08-28 05:46:25.364931,2.1580008 h,5527.0 K,8.557,33,90.75943557587073,0.0,156.33592570258094,230,230,5445.0
WASP-80 b,2021-05-21 08:44:59.990553,2.1310008 h,4143.0 K,9.218,33,90.75943557587073,0.0,156.33592570258094,230,230,6534.0
WASP-80 b,2021-05-18 07:07:40.387043,2.1310008 h,4143.0 K,9.218,33,90.75943557587073,0.0,156.33592570258094,230,230,6534.0
WASP-80 b,2020-08-15 04:29:24.038050,2.1310008 h,4143.0 K,9.218,33,90.75943557587073,0.0,156.33592570258094,230,230,6534.0
WASP-80 b,2020-08-12 02:51:34.464903,2.1310008 h,4143.0 K,9.218,33,90.75943557587073,0.0,156.33592570258094,230,230,6534.0
WASP-80 b,2020-07-03 05:41:45.422148,2.1310008 h,4143.0 K,9.218,33,90.75943557587073,0.0,156.33592570258094,230,230,6534.0
WASP-80 b,2020-06-30 04:04:13.403901,2.1310008 h,4143.0 K,9.218,33,90.75943557587073,0.0,156.33592570258094,230,230,6534.0
K2-233 b,2021-05-19 05:21:15.652924,1.9690007999999999 h,4950.0 K,8.968,30,90.75943557587073,0.0,156.33592570258094,230,230,7200.0
K2-233 b,2021-05-14 06:54:57.280407,1.9690007999999999 h,4950.0 K,8.968,30,90.75943557587073,0.0,156.33592570258094,230,230,7200.0
K2-233 b,2021-04-17 03:31:18.490864,1.9690007999999999 h,4950.0 K,8.968,30,90.75943557587073,0.0,156.33592570258094,230,230,7200.0
K2-233 b,2021-06-03 00:40:31.520354,1.9690007999999999 h,4950.0 K,8.968,30,90.75943557587073,0.0,156.33592570258094,230,230,7200.0
K2-233 b,2021-05-29 02:14:02.833681,1.9690007999999999 h,4950.0 K,8.968,30,90.75943557587073,0.0,156.33592570258094,230,230,7200.0
K2-233 b,2021-02-24 08:01:02.977689,1.9690007999999999 h,4950.0 K,8.968,30,90.75943557587073,0.0,156.33592570258094,230,230,7200.0
K2-233 b,2021-04-07 06:39:29.129661,1.9690007999999999 h,4950.0 K,8.968,30,90.75943557587073,0.0,156.33592570258094,230,230,7200.0
K2-233 b,2021-04-12 05:05:22.271497,1.9690007999999999 h,4950.0 K,8.968,30,90.75943557587073,0.0,156.33592570258094,230,230,7200.0
GJ 9827 c,2020-07-21 08:41:31.047777,1.82496 h,4340.0 K,7.984,28,90.75943557587073,0.0,156.33592570258094,230,230,4704.0
GJ 9827 c,2021-06-18 08:12:18.431823,1.82496 h,4340.0 K,7.984,28,90.75943557587073,0.0,156.33592570258094,230,230,4704.0
GJ 9827 c,2020-08-01 07:20:09.362532,1.82496 h,4340.0 K,7.984,28,90.75943557587073,0.0,156.33592570258094,230,230,4704.0
GJ 9827 c,2020-08-12 05:59:00.240458,1.82496 h,4340.0 K,7.984,28,90.75943557587073,0.0,156.33592570258094,230,230,4704.0
GJ 9827 c,2020-08-23 04:38:05.622525,1.82496 h,4340.0 K,7.984,28,90.75943557587073,0.0,156.33592570258094,230,230,4704.0
GJ 9827 c,2020-11-15 02:26:50.847351,1.82496 h,4340.0 K,7.984,28,90.75943557587073,0.0,156.33592570258094,230,230,4704.0
TOI-270 c,2020-11-17 02:30:35.171122,1.6579992 h,3386.0 K,9.099,25,90.75943557587073,0.0,156.33592570258094,230,230,1250.0
TOI-270 c,2020-12-04 02:02:48.128699,1.6579992 h,3386.0 K,9.099,25,90.75943557587073,0.0,156.33592570258094,230,230,1250.0
GJ 357 b,2021-03-07 01:17:10.334092,1.53 h,3505.0 K,7.337,23,90.75943557587073,0.0,156.33592570258094,230,230,3703.0
GJ 357 b,2021-03-03 02:56:51.798818,1.53 h,3505.0 K,7.337,23,90.75943557587073,0.0,156.33592570258094,230,230,3703.0
GJ 357 b,2021-02-23 06:16:20.467873,1.53 h,3505.0 K,7.337,23,90.75943557587073,0.0,156.33592570258094,230,230,3703.0
GJ 357 b,2020-12-30 05:36:04.379396,1.53 h,3505.0 K,7.337,23,90.75943557587073,0.0,156.33592570258094,230,230,3703.0
GJ 357 b,2020-12-26 07:16:14.336591,1.53 h,3505.0 K,7.337,23,90.75943557587073,0.0,156.33592570258094,230,230,3703.0
GJ 357 b,2021-05-01 02:04:21.521560,1.53 h,3505.0 K,7.337,23,90.75943557587073,0.0,156.33592570258094,230,230,3703.0
GJ 357 b,2021-05-05 00:25:01.311994,1.53 h,3505.0 K,7.337,23,90.75943557587073,0.0,156.33592570258094,230,230,3703.0
WASP-140 b,2020-09-13 08:22:11.766242,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,4761.0
WASP-140 b,2021-01-12 02:12:04.164616,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,4761.0
WASP-140 b,2021-01-03 03:31:59.733528,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,4761.0
WASP-140 b,2020-12-05 01:52:31.868656,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,4761.0
WASP-140 b,2020-11-26 03:12:59.182360,1.5144000000000002 h,5260.0 K,9.609,23,90.75943557587073,0.0,156.33592570258094,230,230,4761.0
