Name,obs_time,Primary eclipse observable?,Transit Length,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time
2021-02-21 03:44:42.305428,1.33199329716863,96.79576971907098,74.83747568484537,61.62006759643555,48.65578079223633
2021-02-21 05:06:29.103988,1.124908444345549,96.21437940139995,74.20981984483973,34.52094650268555,62.743003845214844
2021-02-21 06:28:15.902548,1.091687185570091,95.53410436580576,73.58147892669079,346.3038635253906,66.35004425048828
2021-04-16 23:44:22.793454,1.4469692926854547,94.29934106703695,126.83476341063101,66.63617706298828,43.717220306396484
2021-04-17 01:54:07.792014,1.1003606241113237,93.41097216619141,125.85181574150741,22.163799285888672,65.33908081054688
2021-04-17 04:03:52.790574,1.1834661949873995,92.2790817157072,124.8679554182021,311.90020751953125,57.669315338134766
2020-10-24 01:50:25.089604,1.414663805822247,78.84713749879356,83.69215408151886,57.709476470947266,44.98176574707031
2020-10-24 03:41:13.569604,1.1410424050734618,78.08186476885551,82.78724447746394,18.9229679107666,61.21010208129883
2020-10-24 05:32:02.049604,1.1915910562199497,77.14376809318517,81.88440144357124,323.7470397949219,57.057220458984375
2020-11-22 00:50:11.496004,1.2291218427296944,57.76034901320687,91.71950884779982,42.77738952636719,54.448081970214844
2020-11-22 02:40:59.976004,1.1302283027466336,57.048295127253944,90.83496326437682,350.342041015625,62.224090576171875
2020-11-22 04:31:48.456004,1.3380697308579987,56.17724546581809,89.95238685262322,306.62750244140625,48.360931396484375
2020-06-05 23:38:00.063046,1.1690557179143746,85.04113308566025,2.6402126089383136,354.66986083984375,58.802982330322266
2020-06-06 00:55:52.575046,1.2675748304730836,85.73026381765597,3.293517115723728,322.1554260253906,52.08358383178711
2020-06-06 02:13:45.087046,1.5965867900395645,86.33147613537724,3.9686069914205135,301.7957763671875,38.78032302856445
2021-02-21 05:47:14.284486,1.1809135202557706,95.89621183646032,73.89678834059468,15.8510160446167,57.86552810668945
2021-02-21 07:05:06.796486,1.1910920016464703,95.21230260350974,73.2981349629221,339.3529968261719,57.09428787231445
2021-02-21 08:22:59.308486,1.3690720191554406,94.4431243915108,72.69884227836981,312.1489562988281,46.9217643737793
2021-03-09 04:12:17.604166,1.2201280968268398,124.90237645389088,129.06805594776557,29.393083572387695,55.04338073730469
2021-03-09 05:30:10.116166,1.1693116560914951,125.79977967426737,129.730529112086,354.0814208984375,58.78227996826172
2021-03-09 06:48:02.628166,1.27045983991842,126.61709210686945,130.39233565370273,321.73944091796875,51.91686248779297
2021-03-17 03:24:49.264006,1.2506923234682732,136.38501387555286,138.39501970734895,35.323787689208984,53.087833404541016
2021-03-17 04:42:41.776006,1.1676901030562368,135.6050341468014,137.8103518979306,1.7951749563217163,58.913814544677734
2021-03-17 06:00:34.288006,1.2355072293407225,134.76720451194532,137.22582923946553,327.3582763671875,54.03580856323242
2021-04-02 01:49:52.583686,1.3384140765522121,78.89097731145199,59.35747275302954,45.483436584472656,48.34435272216797
2021-04-02 03:07:45.095686,1.1827617079102972,79.71976131099836,60.08186818610634,16.85394859313965,57.7232780456543
2021-04-02 04:25:37.607686,1.188753088960408,80.45216219250005,60.80538713593172,340.3213806152344,57.268917083740234
2021-04-10 01:02:24.243526,1.3985324788791949,176.84563267193937,156.42538823720776,49.79531478881836,45.646087646484375
2021-04-10 02:20:16.755526,1.1998572969637245,175.95754367565107,157.02757870820813,23.819501876831055,56.452964782714844
2021-04-10 03:38:09.267526,1.1756027278308387,175.0488504835088,157.62887962421212,347.56390380859375,58.27998352050781
2021-04-18 00:14:55.903366,1.472368658222473,81.98703694334176,115.63268966218658,53.6691780090332,42.779422760009766
2021-04-18 01:32:48.415366,1.2238936699668401,81.4919640557244,115.03508890884008,30.248414993286133,54.7920036315918
2021-04-18 02:50:40.927366,1.1687283506600128,80.9140383862013,114.43697401480493,355.1435546875,58.82949447631836
